346,20101229,20110110,20110105,11003,1,6,9,SO43701,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-29 00:00:00,2011-01-10 00:00:00,2011-01-05 00:00:00,Internet
310,20101230,20110111,20110106,16624,1,6,9,SO43703,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-30 00:00:00,2011-01-11 00:00:00,2011-01-06 00:00:00,Internet
351,20101230,20110111,20110106,11005,1,6,9,SO43704,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2010-12-30 00:00:00,2011-01-11 00:00:00,2011-01-06 00:00:00,Internet
344,20101230,20110111,20110106,11011,1,6,9,SO43705,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-30 00:00:00,2011-01-11 00:00:00,2011-01-06 00:00:00,Internet
313,20101231,20110112,20110107,16351,1,6,9,SO43709,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-31 00:00:00,2011-01-12 00:00:00,2011-01-07 00:00:00,Internet
314,20101231,20110112,20110107,16517,1,6,9,SO43710,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2010-12-31 00:00:00,2011-01-12 00:00:00,2011-01-07 00:00:00,Internet
314,20110102,20110114,20110109,16483,1,6,9,SO43715,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-02 00:00:00,2011-01-14 00:00:00,2011-01-09 00:00:00,Internet
311,20110102,20110114,20110109,16529,1,6,9,SO43716,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-02 00:00:00,2011-01-14 00:00:00,2011-01-09 00:00:00,Internet
336,20110102,20110114,20110109,25249,1,6,9,SO43717,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,2011-01-02 00:00:00,2011-01-14 00:00:00,2011-01-09 00:00:00,Internet
311,20110104,20110116,20110111,16520,1,6,9,SO43724,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-04 00:00:00,2011-01-16 00:00:00,2011-01-11 00:00:00,Internet
